Date,000001.SS,^BVSP,^FTSE,^GSPC,^GSPTSE,^HSI,^IBEX,^N225,^STOXX50E
2007-03-30,3183.98291015625,45805.0,6308.0,1420.8599853515625,13165.5,19800.9296875,14641.685546875,17287.650390625,4181.02978515625
2007-04-02,3252.594970703125,45597.0,6315.5,1424.550048828125,13265.7998046875,19809.69921875,14730.78515625,17028.41015625,4189.5498046875
2007-04-03,3291.299072265625,46288.0,6366.10009765625,1437.77001953125,13361.2001953125,20002.69921875,14953.1845703125,17244.05078125,4246.2998046875
2007-04-04,3291.5419921875,46554.0,6364.7001953125,1439.3699951171875,13448.2998046875,20209.7109375,14943.083984375,17544.08984375,4261.830078125
2007-04-10,3444.291015625,47174.0,6417.7998046875,1448.3900146484375,13431.2998046875,20347.869140625,15005.484375,17664.689453125,4301.47021484375
2007-04-11,3495.22412109375,46939.0,6413.2998046875,1438.8699951171875,13401.0,20449.4296875,14997.583984375,17670.0703125,4293.2001953125
2007-04-12,3531.029052734375,47347.0,6416.39990234375,1447.800048828125,13499.7001953125,20380.2109375,14882.9853515625,17540.419921875,4280.02001953125
2007-04-13,3518.26708984375,47926.0,6462.39990234375,1452.8499755859375,13578.599609375,20340.970703125,14965.2841796875,17363.94921875,4317.35009765625
2007-04-16,3596.44091796875,48921.0,6516.2001953125,1468.3299560546875,13660.0,20757.529296875,15020.7841796875,17628.30078125,4379.25
2007-04-17,3611.8701171875,48755.0,6497.7998046875,1471.47998046875,13658.0,20788.609375,14965.984375,17527.44921875,4384.3798828125
2007-04-18,3612.39599609375,48710.0,6449.39990234375,1472.5,13712.0,20777.08984375,14870.3857421875,17667.330078125,4358.9501953125
2007-04-19,3449.01611328125,48762.0,6440.60009765625,1470.72998046875,13574.7001953125,20299.7109375,14821.685546875,17371.970703125,4339.93017578125
2007-04-20,3584.2041015625,49408.0,6486.7998046875,1484.3499755859375,13664.7001953125,20566.58984375,15080.884765625,17452.619140625,4416.7900390625
2007-04-23,3710.885986328125,49162.0,6479.7001953125,1480.9300537109375,13629.0,20556.5703125,14987.083984375,17455.369140625,4400.1201171875
2007-04-24,3720.531982421875,49071.0,6429.5,1480.4100341796875,13590.2998046875,20572.80078125,14578.685546875,17451.76953125,4367.830078125
2007-04-25,3743.958984375,49676.0,6462.0,1495.4200439453125,13672.900390625,20536.779296875,14620.3857421875,17236.16015625,4404.43994140625
2007-04-26,3783.06298828125,49068.0,6469.39990234375,1494.25,13597.5,20667.2890625,14610.9853515625,17429.169921875,4414.2099609375
2007-04-27,3759.866943359375,49230.0,6418.7001953125,1494.0699462890625,13632.0,20526.5,14403.5849609375,17400.41015625,4383.1298828125
2007-05-08,3950.010986328125,50278.0,6550.39990234375,1507.719970703125,13915.400390625,20706.349609375,14556.685546875,17656.83984375,4411.31982421875
2007-05-10,4049.700927734375,50235.0,6524.10009765625,1491.469970703125,13853.099609375,20746.26953125,14575.3857421875,17736.9609375,4391.8701171875
2007-05-11,4021.677978515625,50902.0,6565.7001953125,1505.8499755859375,14003.7998046875,20468.2109375,14736.28515625,17553.720703125,4423.06982421875
2007-05-14,4046.39208984375,50511.0,6555.5,1503.1500244140625,13903.2998046875,20979.240234375,14685.9853515625,17677.939453125,4413.72021484375
